,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
18,la,smoothed_wearing_mask,2020-12-21,2020-12-26,5,87.895931,0.5369998,3689.3681,state,fb-survey
19,ma,smoothed_wearing_mask,2020-12-21,2020-12-26,5,96.7511655,0.2514856,4970.0135,state,fb-survey
20,md,smoothed_wearing_mask,2020-12-21,2020-12-26,5,97.1610734,0.262698,3996.9899,state,fb-survey
21,me,smoothed_wearing_mask,2020-12-21,2020-12-26,5,94.8836081,0.4853315,2061.0,state,fb-survey
22,mi,smoothed_wearing_mask,2020-12-21,2020-12-26,5,93.6084377,0.2356855,10771.0096,state,fb-survey
23,mn,smoothed_wearing_mask,2020-12-21,2020-12-26,5,93.5770831,0.3710389,4365.7917,state,fb-survey
24,mo,smoothed_wearing_mask,2020-12-21,2020-12-26,5,88.4323336,0.4526704,4992.2076,state,fb-survey
25,ms,smoothed_wearing_mask,2020-12-21,2020-12-26,5,88.5088059,0.6384269,2495.3376,state,fb-survey
26,mt,smoothed_wearing_mask,2020-12-21,2020-12-26,5,88.6844849,0.8502175,1388.2315,state,fb-survey
27,nc,smoothed_wearing_mask,2020-12-21,2020-12-26,5,92.5393271,0.2737334,9214.012,state,fb-survey
28,nd,smoothed_wearing_mask,2020-12-21,2020-12-26,5,85.6650962,1.3052317,720.8144,state,fb-survey
29,ne,smoothed_wearing_mask,2020-12-21,2020-12-26,5,89.5737875,0.6938878,1939.675,state,fb-survey
30,nh,smoothed_wearing_mask,2020-12-21,2020-12-26,5,94.6670429,0.5339175,1771.0,state,fb-survey
31,nj,smoothed_wearing_mask,2020-12-21,2020-12-26,5,96.3602858,0.2480535,5699.997,state,fb-survey
32,nm,smoothed_wearing_mask,2020-12-21,2020-12-26,5,96.0036797,0.4185602,2189.9405,state,fb-survey
33,nv,smoothed_wearing_mask,2020-12-21,2020-12-26,5,93.742596,0.5431219,1988.5503,state,fb-survey
34,ny,smoothed_wearing_mask,2020-12-21,2020-12-26,5,96.3765765,0.1676003,12432.0015,state,fb-survey
35,oh,smoothed_wearing_mask,2020-12-21,2020-12-26,5,93.7364207,0.230455,11054.9947,state,fb-survey
36,ok,smoothed_wearing_mask,2020-12-21,2020-12-26,5,86.8069982,0.5435685,3876.0532,state,fb-survey
37,or,smoothed_wearing_mask,2020-12-21,2020-12-26,5,93.9426101,0.3659129,4250.0372,state,fb-survey
38,pa,smoothed_wearing_mask,2020-12-21,2020-12-26,5,93.8550113,0.2201207,11903.0073,state,fb-survey
39,ri,smoothed_wearing_mask,2020-12-21,2020-12-26,5,97.5348528,0.4731534,1073.9865,state,fb-survey
40,sc,smoothed_wearing_mask,2020-12-21,2020-12-26,5,90.5049066,0.3994407,5386.0044,state,fb-survey
41,sd,smoothed_wearing_mask,2020-12-21,2020-12-26,5,84.7386573,1.1837779,922.8558,state,fb-survey
42,tn,smoothed_wearing_mask,2020-12-21,2020-12-26,5,88.8870408,0.3993299,6194.4749,state,fb-survey
43,tx,smoothed_wearing_mask,2020-12-21,2020-12-26,5,92.2504481,0.2020257,17515.8774,state,fb-survey
44,ut,smoothed_wearing_mask,2020-12-21,2020-12-26,5,92.7677699,0.4957456,2729.9308,state,fb-survey
45,va,smoothed_wearing_mask,2020-12-21,2020-12-26,5,94.2789563,0.2725541,7260.8043,state,fb-survey
46,vt,smoothed_wearing_mask,2020-12-21,2020-12-26,5,95.6050263,0.6929698,875.0007,state,fb-survey
47,wa,smoothed_wearing_mask,2020-12-21,2020-12-26,5,95.4874374,0.2548197,6635.9561,state,fb-survey
48,wi,smoothed_wearing_mask,2020-12-21,2020-12-26,5,90.5572389,0.394662,5489.9893,state,fb-survey
49,wv,smoothed_wearing_mask,2020-12-21,2020-12-26,5,92.8821851,0.5333434,2324.156,state,fb-survey
50,wy,smoothed_wearing_mask,2020-12-21,2020-12-26,5,79.1882984,1.5312583,702.8646,state,fb-survey
0,ak,smoothed_wearing_mask,2020-12-22,2020-12-27,5,89.4701987,1.1177987,754.0,state,fb-survey
1,al,smoothed_wearing_mask,2020-12-22,2020-12-27,5,89.6583976,0.4994443,3717.1037,state,fb-survey
2,ar,smoothed_wearing_mask,2020-12-22,2020-12-27,5,90.1646465,0.581004,2627.0479,state,fb-survey
3,az,smoothed_wearing_mask,2020-12-22,2020-12-27,5,93.4345052,0.3465113,5109.049,state,fb-survey
4,ca,smoothed_wearing_mask,2020-12-22,2020-12-27,5,95.629676,0.1313008,24242.1866,state,fb-survey
5,co,smoothed_wearing_mask,2020-12-22,2020-12-27,5,93.5492478,0.3518725,4873.9369,state,fb-survey
6,ct,smoothed_wearing_mask,2020-12-22,2020-12-27,5,97.1766849,0.267228,3842.0,state,fb-survey
7,dc,smoothed_wearing_mask,2020-12-22,2020-12-27,5,98.2044199,0.6988988,361.0,state,fb-survey
8,de,smoothed_wearing_mask,2020-12-22,2020-12-27,5,95.6148572,0.6159876,1105.0073,state,fb-survey
